name,furigana,prefecture,birthdate,age,gender,snum,term,rank,style,score,～１昨年_合計_出走数,～１昨年_合計_優勝,～１昨年_合計_1着,～１昨年_合計_2着,～１昨年_合計_3着,～１昨年_合計_着外,～１昨年_合計_棄権,～１昨年_合計_失格,～１昨年_合計_勝率,～１昨年_合計_2連対率,～１昨年_合計_3連対率,～１昨年_F2_出走数,～１昨年_F2_優勝,～１昨年_F2_1着,～１昨年_F2_2着,～１昨年_F2_3着,～１昨年_F2_着外,～１昨年_F2_棄権,～１昨年_F2_失格,～１昨年_F2_勝率,～１昨年_F2_2連対率,～１昨年_F2_3連対率,～１昨年_F1_出走数,～１昨年_F1_優勝,～１昨年_F1_1着,～１昨年_F1_2着,～１昨年_F1_3着,～１昨年_F1_着外,～１昨年_F1_棄権,～１昨年_F1_失格,～１昨年_F1_勝率,～１昨年_F1_2連対率,～１昨年_F1_3連対率,～１昨年_G3_出走数,～１昨年_G3_優勝,～１昨年_G3_1着,～１昨年_G3_2着,～１昨年_G3_3着,～１昨年_G3_着外,～１昨年_G3_棄権,～１昨年_G3_失格,～１昨年_G3_勝率,～１昨年_G3_2連対率,～１昨年_G3_3連対率,～１昨年_G2_出走数,～１昨年_G2_優勝,～１昨年_G2_1着,～１昨年_G2_2着,～１昨年_G2_3着,～１昨年_G2_着外,～１昨年_G2_棄権,～１昨年_G2_失格,～１昨年_G2_勝率,～１昨年_G2_2連対率,～１昨年_G2_3連対率,～１昨年_G1_出走数,～１昨年_G1_優勝,～１昨年_G1_1着,～１昨年_G1_2着,～１昨年_G1_3着,～１昨年_G1_着外,～１昨年_G1_棄権,～１昨年_G1_失格,～１昨年_G1_勝率,～１昨年_G1_2連対率,～１昨年_G1_3連対率,～１昨年_GP_出走数,～１昨年_GP_優勝,～１昨年_GP_1着,～１昨年_GP_2着,～１昨年_GP_3着,～１昨年_GP_着外,～１昨年_GP_棄権,～１昨年_GP_失格,～１昨年_GP_勝率,～１昨年_GP_2連対率,～１昨年_GP_3連対率,昨年_合計_出走数,昨年_合計_優勝,昨年_合計_1着,昨年_合計_2着,昨年_合計_3着,昨年_合計_着外,昨年_合計_棄権,昨年_合計_失格,昨年_合計_勝率,昨年_合計_2連対率,昨年_合計_3連対率,昨年_F2_出走数,昨年_F2_優勝,昨年_F2_1着,昨年_F2_2着,昨年_F2_3着,昨年_F2_着外,昨年_F2_棄権,昨年_F2_失格,昨年_F2_勝率,昨年_F2_2連対率,昨年_F2_3連対率,昨年_F1_出走数,昨年_F1_優勝,昨年_F1_1着,昨年_F1_2着,昨年_F1_3着,昨年_F1_着外,昨年_F1_棄権,昨年_F1_失格,昨年_F1_勝率,昨年_F1_2連対率,昨年_F1_3連対率,昨年_G3_出走数,昨年_G3_優勝,昨年_G3_1着,昨年_G3_2着,昨年_G3_3着,昨年_G3_着外,昨年_G3_棄権,昨年_G3_失格,昨年_G3_勝率,昨年_G3_2連対率,昨年_G3_3連対率,昨年_G2_出走数,昨年_G2_優勝,昨年_G2_1着,昨年_G2_2着,昨年_G2_3着,昨年_G2_着外,昨年_G2_棄権,昨年_G2_失格,昨年_G2_勝率,昨年_G2_2連対率,昨年_G2_3連対率,昨年_G1_出走数,昨年_G1_優勝,昨年_G1_1着,昨年_G1_2着,昨年_G1_3着,昨年_G1_着外,昨年_G1_棄権,昨年_G1_失格,昨年_G1_勝率,昨年_G1_2連対率,昨年_G1_3連対率,昨年_GP_出走数,昨年_GP_優勝,昨年_GP_1着,昨年_GP_2着,昨年_GP_3着,昨年_GP_着外,昨年_GP_棄権,昨年_GP_失格,昨年_GP_勝率,昨年_GP_2連対率,昨年_GP_3連対率,本年_合計_出走数,本年_合計_優勝,本年_合計_1着,本年_合計_2着,本年_合計_3着,本年_合計_着外,本年_合計_棄権,本年_合計_失格,本年_合計_勝率,本年_合計_2連対率,本年_合計_3連対率,本年_F2_出走数,本年_F2_優勝,本年_F2_1着,本年_F2_2着,本年_F2_3着,本年_F2_着外,本年_F2_棄権,本年_F2_失格,本年_F2_勝率,本年_F2_2連対率,本年_F2_3連対率,本年_F1_出走数,本年_F1_優勝,本年_F1_1着,本年_F1_2着,本年_F1_3着,本年_F1_着外,本年_F1_棄権,本年_F1_失格,本年_F1_勝率,本年_F1_2連対率,本年_F1_3連対率,本年_G3_出走数,本年_G3_優勝,本年_G3_1着,本年_G3_2着,本年_G3_3着,本年_G3_着外,本年_G3_棄権,本年_G3_失格,本年_G3_勝率,本年_G3_2連対率,本年_G3_3連対率,本年_G2_出走数,本年_G2_優勝,本年_G2_1着,本年_G2_2着,本年_G2_3着,本年_G2_着外,本年_G2_棄権,本年_G2_失格,本年_G2_勝率,本年_G2_2連対率,本年_G2_3連対率,本年_G1_出走数,本年_G1_優勝,本年_G1_1着,本年_G1_2着,本年_G1_3着,本年_G1_着外,本年_G1_棄権,本年_G1_失格,本年_G1_勝率,本年_G1_2連対率,本年_G1_3連対率,本年_GP_出走数,本年_GP_優勝,本年_GP_1着,本年_GP_2着,本年_GP_3着,本年_GP_着外,本年_GP_棄権,本年_GP_失格,本年_GP_勝率,本年_GP_2連対率,本年_GP_3連対率,通算_合計_出走数,通算_合計_優勝,通算_合計_1着,通算_合計_2着,通算_合計_3着,通算_合計_着外,通算_合計_棄権,通算_合計_失格,通算_合計_勝率,通算_合計_2連対率,通算_合計_3連対率,通算_F2_出走数,通算_F2_優勝,通算_F2_1着,通算_F2_2着,通算_F2_3着,通算_F2_着外,通算_F2_棄権,通算_F2_失格,通算_F2_勝率,通算_F2_2連対率,通算_F2_3連対率,通算_F1_出走数,通算_F1_優勝,通算_F1_1着,通算_F1_2着,通算_F1_3着,通算_F1_着外,通算_F1_棄権,通算_F1_失格,通算_F1_勝率,通算_F1_2連対率,通算_F1_3連対率,通算_G3_出走数,通算_G3_優勝,通算_G3_1着,通算_G3_2着,通算_G3_3着,通算_G3_着外,通算_G3_棄権,通算_G3_失格,通算_G3_勝率,通算_G3_2連対率,通算_G3_3連対率,通算_G2_出走数,通算_G2_優勝,通算_G2_1着,通算_G2_2着,通算_G2_3着,通算_G2_着外,通算_G2_棄権,通算_G2_失格,通算_G2_勝率,通算_G2_2連対率,通算_G2_3連対率,通算_G1_出走数,通算_G1_優勝,通算_G1_1着,通算_G1_2着,通算_G1_3着,通算_G1_着外,通算_G1_棄権,通算_G1_失格,通算_G1_勝率,通算_G1_2連対率,通算_G1_3連対率,通算_GP_出走数,通算_GP_優勝,通算_GP_1着,通算_GP_2着,通算_GP_3着,通算_GP_着外,通算_GP_棄権,通算_GP_失格,通算_GP_勝率,通算_GP_2連対率,通算_GP_3連対率
柴田 昌樹,シバタ マサキ,愛知県,1975/08/30,49歳,男,013261,79期,A級3班,追,68.51,2178,7,346,289,249,1281,10,4,15.8%,29.1%,40.5%,1618,5,270,227,193,918,7,4,16.6%,30.7%,42.6%,528,2,74,57,54,341,2,0,14.0%,24.8%,35.0%,32,0,2,5,2,22,1,0,6.2%,21.8%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0,5,11,23,66,0,0,4.7%,15.2%,37.1%,105,0,5,11,23,66,0,0,4.7%,15.2%,37.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,3,2,5,23,0,0,9.0%,15.1%,30.3%,33,0,3,2,5,23,0,0,9.0%,15.1%,30.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316,7,354,302,277,1370,10,4,15.2%,28.3%,40.2%,1756,5,278,240,221,1007,7,4,15.8%,29.4%,42.0%,528,2,74,57,54,341,2,0,14.0%,24.8%,35.0%,32,0,2,5,2,22,1,0,6.2%,21.8%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田中 雅史,タナカ マサシ,愛知県,1976/12/11,48歳,男,013263,79期,A級1班,追,85.30,2375,35,430,325,229,1377,11,4,18.1%,31.7%,41.4%,763,20,192,134,74,357,3,3,25.1%,42.7%,52.4%,1253,12,194,146,125,781,7,1,15.4%,27.1%,37.1%,332,3,40,45,28,219,0,0,12.0%,25.6%,34.0%,26,0,4,0,2,19,1,0,15.3%,15.3%,23.0%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,108,0,14,24,15,55,0,0,12.9%,35.1%,49.0%,63,0,9,12,11,31,0,0,14.2%,33.3%,50.7%,45,0,5,12,4,24,0,0,11.1%,37.7%,46.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,5,6,7,18,0,0,13.8%,30.5%,50.0%,27,0,3,6,7,11,0,0,11.1%,33.3%,59.2%,9,0,2,0,0,7,0,0,22.2%,22.2%,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,35,449,355,251,1450,11,4,17.8%,31.9%,41.8%,853,20,204,152,92,399,3,3,23.9%,41.7%,52.5%,1307,12,201,158,129,812,7,1,15.3%,27.4%,37.3%,332,3,40,45,28,219,0,0,12.0%,25.6%,34.0%,26,0,4,0,2,19,1,0,15.3%,15.3%,23.0%,1,0,0,0,0,1,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,
山中 貴雄,ヤマナカ タカオ,愛知県,1976/05/15,48歳,男,013264,79期,A級2班,追,79.86,2126,4,199,256,272,1384,12,3,9.3%,21.4%,34.1%,1506,4,162,196,195,943,8,2,10.7%,23.7%,36.7%,608,0,35,56,76,436,4,1,5.7%,14.9%,27.4%,12,0,2,4,1,5,0,0,16.6%,50.0%,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,0,8,6,16,55,0,0,9.4%,16.4%,35.2%,73,0,8,6,13,46,0,0,10.9%,19.1%,36.9%,12,0,0,0,3,9,0,0,0.0%,0.0%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,5,25,0,0,0.0%,0.0%,16.6%,20,0,0,0,3,17,0,0,0.0%,0.0%,15.0%,10,0,0,0,2,8,0,0,0.0%,0.0%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,4,207,262,293,1464,12,3,9.2%,20.9%,34.0%,1599,4,170,202,211,1006,8,2,10.6%,23.2%,36.4%,630,0,35,56,81,453,4,1,5.5%,14.4%,27.3%,12,0,2,4,1,5,0,0,16.6%,50.0%,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊藤 嘉浩,イトウ ヨシヒロ,岐阜県,1977/03/21,48歳,男,013266,79期,A級3班,両,67.75,2305,21,406,261,235,1389,7,7,17.6%,28.9%,39.1%,1633,18,327,202,169,923,6,6,20.0%,32.3%,42.7%,609,3,71,55,61,420,1,1,11.6%,20.6%,30.7%,56,0,8,3,5,40,0,0,14.2%,19.6%,28.5%,7,0,0,1,0,6,0,0,0.0%,14.2%,14.2%,,,,,,,,,,,,,,,,,,,,,,,61,0,4,5,6,45,0,1,6.5%,14.7%,24.5%,61,0,4,5,6,45,0,1,6.5%,14.7%,24.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,2,2,7,26,0,0,5.4%,10.8%,29.7%,37,0,2,2,7,26,0,0,5.4%,10.8%,29.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403,21,412,268,248,1460,7,8,17.1%,28.2%,38.6%,1731,18,333,209,182,994,6,7,19.2%,31.3%,41.8%,609,3,71,55,61,420,1,1,11.6%,20.6%,30.7%,56,0,8,3,5,40,0,0,14.2%,19.6%,28.5%,7,0,0,1,0,6,0,0,0.0%,14.2%,14.2%,,,,,,,,,,,,,,,,,,,,,,
鷲見 逸喜,スミ イツキ,岐阜県,1978/01/17,47歳,男,013267,79期,S級2班,追,94.84,2125,11,227,272,280,1319,20,12,10.6%,23.4%,36.6%,806,10,133,110,114,443,5,2,16.5%,30.1%,44.2%,1084,1,67,138,137,725,11,10,6.1%,18.9%,31.5%,208,0,26,22,28,129,3,0,12.5%,23.0%,36.5%,27,0,1,2,1,22,1,0,3.7%,11.1%,14.8%,,,,,,,,,,,,,,,,,,,,,,,53,0,10,10,9,23,0,1,18.8%,37.7%,54.7%,27,0,7,5,5,10,0,0,25.9%,44.4%,62.9%,26,0,3,5,4,13,0,1,11.5%,30.7%,46.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,1,2,2,27,0,0,3.1%,9.3%,15.6%,,,,,,,,,,,,20,0,1,1,2,16,0,0,5.0%,10.0%,20.0%,12,0,0,1,0,11,0,0,0.0%,8.3%,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210,11,238,284,291,1369,20,13,10.7%,23.6%,36.7%,833,10,140,115,119,453,5,2,16.8%,30.6%,44.8%,1130,1,71,144,143,754,11,11,6.2%,19.0%,31.6%,220,0,26,23,28,140,3,0,11.8%,22.2%,35.0%,27,0,1,2,1,22,1,0,3.7%,11.1%,14.8%,,,,,,,,,,,,,,,,,,,,,,
田島 高志,タジマ タカシ,三重県,1977/11/26,47歳,男,013269,79期,A級3班,追,66.22,2198,23,188,271,333,1342,51,19,8.5%,20.8%,36.0%,1028,16,114,137,171,585,19,5,11.0%,24.4%,41.0%,956,5,57,113,134,618,26,10,5.9%,17.7%,31.7%,187,2,17,19,25,122,4,1,9.0%,19.2%,32.6%,22,0,0,2,3,13,2,2,0.0%,9.0%,22.7%,5,0,0,0,0,4,0,1,0.0%,0.0%,0.0%,,,,,,,,,,,,99,0,1,9,28,61,0,0,1.0%,10.1%,38.3%,99,0,1,9,28,61,0,0,1.0%,10.1%,38.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,1,7,28,0,0,0.0%,2.7%,22.2%,36,0,0,1,7,28,0,0,0.0%,2.7%,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333,23,189,281,368,1431,51,19,8.1%,20.1%,35.9%,1163,16,115,147,206,674,19,5,9.8%,22.5%,40.2%,956,5,57,113,134,618,26,10,5.9%,17.7%,31.7%,187,2,17,19,25,122,4,1,9.0%,19.2%,32.6%,22,0,0,2,3,13,2,2,0.0%,9.0%,22.7%,5,0,0,0,0,4,0,1,0.0%,0.0%,0.0%,,,,,,,,,,,
中川 貴史,ナカガワ タカシ,三重県,1976/11/15,48歳,男,013270,79期,A級1班,追,86.18,2097,10,307,259,238,1287,5,1,14.6%,26.9%,38.3%,1291,5,206,176,163,742,3,1,15.9%,29.5%,42.2%,753,4,97,78,71,505,2,0,12.8%,23.2%,32.6%,53,1,4,5,4,40,0,0,7.5%,16.9%,24.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,12,13,10,42,0,0,15.5%,32.4%,45.4%,48,0,6,11,6,25,0,0,12.5%,35.4%,47.9%,29,0,6,2,4,17,0,0,20.6%,27.5%,41.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,6,5,2,20,0,0,18.1%,33.3%,39.3%,27,0,5,3,2,17,0,0,18.5%,29.6%,37.0%,6,0,1,2,0,3,0,0,16.6%,50.0%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,10,325,277,250,1349,5,1,14.7%,27.2%,38.6%,1366,5,217,190,171,784,3,1,15.8%,29.7%,42.3%,788,4,104,82,75,525,2,0,13.1%,23.6%,33.1%,53,1,4,5,4,40,0,0,7.5%,16.9%,24.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鮒田 博文,フナダ ヒロフミ,三重県,1978/01/14,47歳,男,013271,79期,A級2班,追,82.00,2154,13,246,297,309,1237,51,18,11.4%,25.2%,39.5%,1219,10,163,181,167,673,24,12,13.3%,28.2%,41.9%,845,3,77,109,129,503,24,5,9.1%,22.0%,37.2%,90,0,6,7,13,61,3,1,6.6%,14.4%,28.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0,10,4,16,63,2,0,10.5%,14.7%,31.5%,64,0,8,2,12,41,1,0,12.5%,15.6%,34.3%,31,0,2,2,4,22,1,0,6.4%,12.9%,25.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,2,4,19,0,0,0.0%,8.0%,24.0%,13,0,0,1,3,9,0,0,0.0%,7.6%,30.7%,12,0,0,1,1,10,0,0,0.0%,8.3%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2274,13,256,303,329,1319,53,18,11.2%,24.5%,39.0%,1296,10,171,184,182,723,25,12,13.1%,27.3%,41.4%,888,3,79,112,134,535,25,5,8.8%,21.5%,36.5%,90,0,6,7,13,61,3,1,6.6%,14.4%,28.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古田 義明,フルタ ヨシアキ,三重県,1973/05/11,52歳,男,013272,79期,A級3班,追,69.72,2207,23,227,253,319,1347,49,19,10.2%,21.7%,36.2%,940,15,127,123,136,533,17,5,13.5%,26.5%,41.0%,1022,8,79,104,144,660,29,11,7.7%,17.9%,31.9%,217,0,21,23,35,135,1,3,9.6%,20.2%,36.4%,17,0,0,3,1,11,2,0,0.0%,17.6%,23.5%,11,0,0,0,3,8,0,0,0.0%,0.0%,27.2%,,,,,,,,,,,,58,0,1,1,14,41,1,0,1.7%,3.4%,27.5%,58,0,1,1,14,41,1,0,1.7%,3.4%,27.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,1,8,16,0,1,0.0%,3.8%,34.6%,26,0,0,1,8,16,0,1,0.0%,3.8%,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291,23,228,255,341,1404,50,20,9.9%,21.0%,35.9%,1024,15,128,125,158,590,18,6,12.5%,24.7%,40.1%,1022,8,79,104,144,660,29,11,7.7%,17.9%,31.9%,217,0,21,23,35,135,1,3,9.6%,20.2%,36.4%,17,0,0,3,1,11,2,0,0.0%,17.6%,23.5%,11,0,0,0,3,8,0,0,0.0%,0.0%,27.2%,,,,,,,,,,,
西 徹,ニシ トオル,石川県,1977/09/24,47歳,男,013273,79期,A級2班,追,81.25,2405,17,387,301,265,1440,11,1,16.0%,28.6%,39.6%,1067,12,190,152,126,595,3,1,17.8%,32.0%,43.8%,1085,5,153,124,114,687,7,0,14.1%,25.5%,36.0%,248,0,44,25,25,153,1,0,17.7%,27.8%,37.9%,5,0,0,0,0,5,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,104,0,9,7,19,69,0,0,8.6%,15.3%,33.6%,64,0,6,4,10,44,0,0,9.3%,15.6%,31.2%,40,0,3,3,9,25,0,0,7.5%,15.0%,37.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,3,2,3,27,0,0,8.5%,14.2%,22.8%,26,0,1,1,3,21,0,0,3.8%,7.6%,19.2%,9,0,2,1,0,6,0,0,22.2%,33.3%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544,17,399,310,287,1536,11,1,15.6%,27.8%,39.1%,1157,12,197,157,139,660,3,1,17.0%,30.5%,42.6%,1134,5,158,128,123,718,7,0,13.9%,25.2%,36.0%,248,0,44,25,25,153,1,0,17.7%,27.8%,37.9%,5,0,0,0,0,5,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,
八日市屋 浩之,ヨウカイチヤ ヒロユキ,石川県,1975/05/17,49歳,男,013274,79期,S級2班,追,96.89,2298,21,256,265,302,1445,25,6,11.1%,22.6%,35.8%,370,13,104,61,47,153,4,1,28.1%,44.5%,57.2%,1405,7,111,154,189,936,13,2,7.9%,18.8%,32.3%,500,1,41,49,61,339,8,3,8.2%,18.0%,30.2%,15,0,0,1,4,10,0,0,0.0%,6.6%,33.3%,8,0,0,0,1,7,0,0,0.0%,0.0%,12.5%,,,,,,,,,,,,102,0,4,15,19,64,0,0,3.9%,18.6%,37.2%,,,,,,,,,,,,70,0,3,12,16,39,0,0,4.2%,21.4%,44.2%,32,0,1,3,3,25,0,0,3.1%,12.5%,21.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,1,4,8,26,0,0,2.5%,12.8%,33.3%,,,,,,,,,,,,27,0,1,3,7,16,0,0,3.7%,14.8%,40.7%,12,0,0,1,1,10,0,0,0.0%,8.3%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439,21,261,284,329,1535,25,6,10.7%,22.3%,35.8%,370,13,104,61,47,153,4,1,28.1%,44.5%,57.2%,1502,7,115,169,212,991,13,2,7.6%,18.9%,33.0%,544,1,42,53,65,374,8,3,7.7%,17.4%,29.4%,15,0,0,1,4,10,0,0,0.0%,6.6%,33.3%,8,0,0,0,1,7,0,0,0.0%,0.0%,12.5%,,,,,,,,,,,
渡辺 航平,ワタナベ コウヘイ,東京都,1977/09/06,47歳,男,013275,79期,A級1班,追,90.30,2287,29,373,318,266,1297,25,10,16.3%,30.2%,41.8%,618,20,173,109,74,258,3,1,27.9%,45.6%,57.6%,1220,9,163,154,147,734,16,8,13.3%,25.9%,38.0%,388,0,34,49,42,256,6,1,8.7%,21.3%,32.2%,16,0,1,2,0,13,0,0,6.2%,18.7%,18.7%,45,0,2,4,3,36,0,0,4.4%,13.3%,20.0%,,,,,,,,,,,,102,1,22,17,14,47,1,1,21.5%,38.2%,51.9%,65,0,16,9,10,29,1,0,24.6%,38.4%,53.8%,37,1,6,8,4,18,0,1,16.2%,37.8%,48.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,5,7,7,11,0,1,16.1%,38.7%,61.2%,27,0,4,6,6,11,0,0,14.8%,37.0%,59.2%,4,0,1,1,1,0,0,1,25.0%,50.0%,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,30,400,342,287,1355,26,12,16.5%,30.6%,42.5%,710,20,193,124,90,298,4,1,27.1%,44.6%,57.3%,1261,10,170,163,152,752,16,10,13.4%,26.4%,38.4%,388,0,34,49,42,256,6,1,8.7%,21.3%,32.2%,16,0,1,2,0,13,0,0,6.2%,18.7%,18.7%,45,0,2,4,3,36,0,0,4.4%,13.3%,20.0%,,,,,,,,,,,
小林 卓人,コバヤシ タクヒト,大阪府,1977/11/16,47歳,男,013283,79期,A級1班,追,89.38,2202,25,326,299,280,1266,22,12,14.8%,28.3%,41.0%,1065,19,228,187,165,470,8,10,21.4%,38.9%,54.4%,943,6,89,105,100,636,12,1,9.4%,20.5%,31.1%,190,0,9,7,15,156,2,1,4.7%,8.4%,16.3%,4,0,0,0,0,4,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,90,0,17,11,20,41,1,1,18.8%,31.1%,53.3%,63,0,10,8,14,30,1,1,15.8%,28.5%,50.7%,27,0,7,3,6,11,0,0,25.9%,37.0%,59.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,5,8,4,17,1,0,14.2%,37.1%,48.5%,23,0,3,5,4,10,1,0,13.0%,34.7%,52.1%,12,0,2,3,0,7,0,0,16.6%,41.6%,41.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,25,348,318,304,1324,24,13,14.9%,28.6%,41.6%,1151,19,241,200,183,510,10,11,20.9%,38.3%,54.2%,982,6,98,111,106,654,12,1,9.9%,21.2%,32.0%,190,0,9,7,15,156,2,1,4.7%,8.4%,16.3%,4,0,0,0,0,4,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,
吉川 悟,ヨシカワ サトル,大阪府,1976/12/01,48歳,男,013285,79期,A級2班,追,80.63,2370,25,358,282,289,1425,14,2,15.1%,27.0%,39.1%,1465,20,242,172,186,855,9,1,16.5%,28.2%,40.9%,837,5,112,100,99,520,5,1,13.3%,25.3%,37.1%,68,0,4,10,4,50,0,0,5.8%,20.5%,26.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,1,5,20,68,0,0,1.0%,6.3%,27.6%,81,0,1,3,17,60,0,0,1.2%,4.9%,25.9%,13,0,0,2,3,8,0,0,0.0%,15.3%,38.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,2,3,6,22,0,1,5.8%,14.7%,32.3%,22,0,1,3,5,12,0,1,4.5%,18.1%,40.9%,12,0,1,0,1,10,0,0,8.3%,8.3%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498,25,361,290,315,1515,14,3,14.4%,26.0%,38.6%,1568,20,244,178,208,927,9,2,15.5%,26.9%,40.1%,862,5,113,102,103,538,5,1,13.1%,24.9%,36.8%,68,0,4,10,4,50,0,0,5.8%,20.5%,26.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三宅 達也,ミヤケ タツヤ,岡山県,1977/07/07,47歳,男,013291,79期,S級1班,追,106.37,2442,42,419,386,338,1259,24,16,17.1%,32.9%,46.8%,344,17,94,67,52,127,1,3,27.3%,46.8%,61.9%,970,23,170,177,148,460,10,5,17.5%,35.7%,51.0%,678,2,107,89,86,387,5,4,15.7%,28.9%,41.5%,115,0,14,21,11,68,1,0,12.1%,30.4%,40.0%,335,0,34,32,41,217,7,4,10.1%,19.7%,31.9%,,,,,,,,,,,,110,1,20,22,17,51,0,0,18.1%,38.1%,53.6%,,,,,,,,,,,,74,1,18,16,13,27,0,0,24.3%,45.9%,63.5%,28,0,2,6,3,17,0,0,7.1%,28.5%,39.2%,8,0,0,0,1,7,0,0,0.0%,0.0%,12.5%,,,,,,,,,,,,,,,,,,,,,,,33,1,7,9,4,12,0,1,21.2%,48.4%,60.6%,,,,,,,,,,,,24,1,5,9,2,8,0,0,20.8%,58.3%,66.6%,5,0,2,0,0,2,0,1,40.0%,40.0%,40.0%,,,,,,,,,,,,4,0,0,0,2,2,0,0,0.0%,0.0%,50.0%,,,,,,,,,,,,2585,44,446,417,359,1322,24,17,17.2%,33.3%,47.2%,344,17,94,67,52,127,1,3,27.3%,46.8%,61.9%,1068,25,193,202,163,495,10,5,18.0%,36.9%,52.2%,711,2,111,95,89,406,5,5,15.6%,28.9%,41.4%,123,0,14,21,12,75,1,0,11.3%,28.4%,38.2%,339,0,34,32,43,219,7,4,10.0%,19.4%,32.1%,,,,,,,,,,,
